
Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
7749.594937741685,-1.510838497338441,-2.853487183757564,-97.84511566786799
8077.410161261253,-1.573420429404155,-2.945876977749328,-101.6374109262264
8419.092279971408,-1.542755820883233,-3.214347796689775,-105.3231268282805
8775.227876704274,-1.544683548780091,-3.537821380068753,-109.7177733198286
9146.428347302706,-1.548932484571249,-3.794483901857522,-113.2861323417176
9533.33095023416,-1.521742344036187,-4.017871785488677,-117.0743322891644
9936.599900604322,-1.551692205717514,-4.30986895476697,-121.535999077907
10356.92751044845,-1.623651104869333,-4.487568391864184,-126.396556292899
10795.03537725818,-1.617281715155762,-4.796102616617792,-129.7861159882682
11251.6756227842,-1.598685512160511,-5.141444343108431,-133.6750591896846
11727.63218424127,-1.606503856758342,-5.511427190687526,-137.6428127949454
12223.72216013265,-1.617546701563889,-5.901188402251972,-142.7253755144237
12740.79721300408,-1.576138366609816,-6.354147429495955,-145.2899291306757
13279.74503153555,-1.61149450777072,-6.729631756331829,-150.8807020339048
13841.490854481,-1.665246731522696,-6.962351322040277,-154.3446279226017
14426.99905907214,-1.586464376746872,-7.425653238324246,-158.7906975523132
15037.27481661315,-1.669079374880555,-7.765445379392222,-163.5575911025284
15673.36581810872,-1.682288552888413,-8.36678047885075,-168.44144277108
16336.36407288775,-1.709841434768799,-8.56128872272166,-173.6162255919115
17027.40778331055,-1.585927740708834,-9.543902836508195,-177.8048024279107
17747.68329877786,-1.680304368459761,-10.00068580273499,-179.5374520401742
18498.42715239644,-1.655874427110321,-10.01594377952522,-186.8341590279837
19280.92818379749,-1.584715669342722,-10.60431615254716,-191.8240074988771
20096.52975175224,-1.658302685283394,-11.15083257718441,-194.9329049094647
20946.63204038333,-1.590703255248249,-11.5191418098239,-198.0327441785307
21832.69446293124,-1.608319196932321,-12.03773180952359,-200.7389970574996
22756.23816720202,-1.609267803192154,-12.76488180702016,-207.7637491255144
23718.84864699823,-1.684773966400172,-14.50747712981539,-213.4276041347799
24722.17846401552,-1.637839908185362,-8.448042755960186,-212.90141346387
25767.95008487826,-1.702268919816316,-8.663852331819378,-207.3299917897611
26857.95883818439,-1.628878491643314,-18.03842710536137,-263.4322479732334
27994.07599663607,-1.677171701397633,-12.60300981836333,-239.0217634140238
29178.25198954741,-1.676737206888883,-16.1379279981298,-234.5564703881708
30412.51975124426,-1.65025401289814,-16.45828764720278,-241.9410540106456
31698.99821110458,-1.586093310724904,-16.82084278743254,-243.3409101238535
33039.89593123081,-1.585908877238003,-17.95559483850957,-249.7610520405318
34437.51489799911,-1.614255697713738,-19.36233852709623,-254.2728220849655
35894.25447399503,-1.650135866201943,-20.00019592841246,-255.2045423666037
37412.61551711941,-1.558146566152776,-19.63657731499334,-269.778671768985
38995.20467393667,-1.711806201231221,-20.59095775932632,-268.2829197188772
40644.73885463578,-1.70738231306474,-14.70195750351817,-268.8270803635845
42364.04989728618,-1.659750651127627,-19.69191444505988,-5.178998885519881
44156.08942939618,-1.571744846695949,1.213194171976988,-48.21779860091023
46023.93393512021,-1.782199150349994,10.87939706133141,-122.7181255754971
47970.79003681312,-2.020682924284152,14.10725365634793,-140.78831273298
50000,-2.332573336527352,14.5893906116339,-223.146733838596
