Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
3669.604021001906,0.04613505416849248,14.09976294655756,-68.74490485137812
3883.998048578666,0.06980807688099289,13.75326238381078,-71.15519913256011
4110.91789605249,0.1158658064319568,13.3714700791348,-72.96186297005599
4351.095375619197,0.08249916482899036,13.05891617031573,-75.35071426495459
4605.305055086172,0.105549335999808,12.66431738855534,-77.45629777404343
4874.36675583883,0.1076313395550186,12.25789482058074,-79.82522569745305
5159.148196748966,0.1072130753480512,11.88771244391939,-81.87158690283992
5460.567792551683,0.07365579795477187,11.56132228672856,-84.35026166379552
5779.597615715405,0.1308596593306781,11.11386942540717,-86.41394554647104
6117.266531357141,0.119594049055862,10.7412265846113,-88.91851588619707
6474.663515312955,0.1382308010695283,10.30357563292807,-90.98194385605677
6852.941166064297,0.134830269641363,9.933130308035997,-93.69820681662245
7253.319421846229,0.1555173462904067,9.447785641542296,-95.83077871218187
7677.08949492507,0.1236602312181007,9.103312556449399,-97.88902135884604
8125.618035733363,0.159068408765341,8.63127356646676,-100.4027967219464
8600.351540291613,0.1601519600961095,8.253908933131576,-103.1627345430949
9102.821015130405,0.16265903175654,7.769752590670151,-105.3569185694188
9634.646914757404,0.1523088685074931,7.369122619623415,-107.891630089569
10197.54436759236,0.1293271976341285,6.951821309219056,-109.0227280596931
10793.32870722362,0.1312731883301658,6.505455480656601,-112.888465133528
11423.92132682452,0.13872923041611,6.142120582994997,-115.2012801945011
12091.35587560979,0.1500987670422759,5.724408595261378,-117.9308548849094
12797.78481731564,0.1303647635496917,5.485766563360594,-120.8836474542255
13545.48637185448,0.1339896467076087,4.981522470153102,-123.5194230142236
14336.87186253071,0.1388903132557245,4.571937121606878,-125.9732397255769
15174.49349251265,0.1068287117456993,4.148361391529891,-129.3872422858943
16061.05257563926,0.09563455539516456,3.660778730198428,-132.4151338272987
16999.40824810587,0.1525505843040401,2.501198733793084,-131.7983054116739
17992.58668912415,0.1697532241115121,2.871047017797181,-136.5931199075611
19043.7908802925,0.1008033709438171,2.601022305321408,-141.6610534794961
